id,name,link,status,verdict
0,Atomix,https://resy.com/cities/new-york-ny/venues/atomix,top-pick,✓ verified (200)
1,Jungsik,https://resy.com/cities/new-york-ny/venues/jungsik-new-york,top-pick,✓ verified (200)
2,Huso,https://resy.com/cities/new-york-ny/venues/huso,top-pick,✓ verified (200)
3,63 Clinton,https://resy.com/cities/new-york-ny/venues/63-clinton,top-pick,✓ verified (200)
4,Claud,https://resy.com/cities/new-york-ny/venues/claud,top-pick,✓ verified (200)
5,Le Bernardin,https://resy.com/cities/new-york-ny/venues/le-bernardin,top-pick,✓ verified (200)
6,Pinch Chinese,https://resy.com/cities/new-york-ny/venues/pinch-chinese,top-pick,✓ verified (200)
7,Crevette,https://resy.com/cities/new-york-ny/venues/crevette,top-pick,✓ verified (200)
8,Chez Fifi,https://resy.com/cities/new-york-ny/venues/chez-fifi,top-pick,✓ verified (200)
9,Blue Willow,https://resy.com/cities/new-york-ny/venues/blue-willow,top-pick,✓ verified (200)
10,Buddakan,https://www.opentable.com/buddakan-new-york,top-pick,✓ browser-verified 200 (curl blocked)
11,Baar Baar,https://www.opentable.com/r/baar-baar-new-york,top-pick,✓ browser-verified 200 (curl blocked)
12,Lord's,https://resy.com/cities/new-york-ny/venues/lords,top-pick,✓ verified (200)
13,Twin Tails,https://resy.com/cities/new-york-ny/venues/twin-tails,mixed,✓ verified (200)
21,Eulalie,Phone: (646) 476-2380,wishlist,✗ NOT A URL (Phone: (646) 476-2380)
28,Meju,https://resy.com/cities/new-york-ny/venues/meju,wishlist,✓ verified (200)
29,Stars Wine Bar,Walk-in only,wishlist,✗ NOT A URL (Walk-in only)
30,Cafe Commerce,https://resy.com/cities/new-york-ny/venues/cafe-commerce,mixed,✓ verified (200)
31,Yamada Kaiseki,https://resy.com/cities/new-york-ny/venues/yamada,wishlist,✓ verified (200)
33,Semma,https://resy.com/cities/new-york-ny/venues/semma,wishlist,✓ verified (200)
42,Adda,https://resy.com/cities/new-york-ny/venues/adda-indian-canteen,wishlist,✓ verified (200)
46,Lex Yard,https://resy.com/cities/new-york-ny/venues/lex-yard,mixed,✓ verified (200)
52,Sunn's,https://resy.com/cities/new-york-ny/venues/sunns,wishlist,✓ verified (200)
55,Rosella,https://resy.com/cities/new-york-ny/venues/rosella,wishlist,✓ verified (200)
73,Din Tai Fung,https://resy.com/cities/new-york-ny/venues/din-tai-fung-new-york-city,mixed,✓ verified (200)
